50
71 65
73 93
95 96
31 15
38 12
33 63
27 73
54 49
47 14
93 59
73 67
13 65
58 7
24 97
1 61
58 24
79 16
53 19
51 99
29 5
51 3
13 98
39 7
96 57
22 12
17 25
3 52
69 38
9 72
18 93
5 57
4 54
12 12
3 90
64 5
4 71
84 32
12 23
62 38
89 55
84 38
47 24
49 92
41 32
97 15
4 14
64 73
85 35
23 99
50 43
41 5
7 34
40 67
66 40
43 42
11 4
31 84
33 29
44 31
9 82
88 28
84 41
98 27
55 18
28 14
62 13
4 61
14 6
24 64
83 81
11 75
96 44
27 34
65 7
96 21
9 5
87 34
4 93
75 9
60 36
7 25
84 41
51 15
85 46
68 7
7 12
74 65
35 69
2 68
34 66
64 58
97 36
89 15
79 51
10 57
99 44
99 56
90 30
62 17
8 30
